# 読み監査の許容リスト(誤検知確定。tools/audit_plist_readings.py が読み、LLMレビューの除外指定にも使う)
# 教本表記・原語の慣用・意図的な両読み併記など「言語学的な正しさより優先する」読み。
# file	phrase	reading	reason
personnalités.plist	DAOKO	だをこ	personnalités、アーティスト特有の芸名表記。ヲ表記が本人流。だおこ ではない
vin-add.plist	黄金色	おうごんいろ	いずれもvin、教本準拠。せせる/こがねいろ/こうしゅ/じあせちる へ直さない
vin.plist	Abbaye de Mont	あべいどぅもん	教本準拠
vin.plist	Assmannshausen	あすまんずはうぜん	vin、教本準拠。独語無声s理論より教本表記を優先
vin.plist	COURMAYEUR	くーるまいよーる	教本準拠
vin.plist	Carmine	かるみん	vin、語源説明に出てくる語のため仏語風読みのまま維持
vin.plist	Château Marquis d'Alesme-Becker	しゃとーまるきだれーむべっかー	vin、教本表記準拠。言語学的に正しい読みへ直さない
vin.plist	Château Soutard	しゃとーすたーる	いずれもvin、教本表記準拠。言語学的に正しい読みへ直さない
vin.plist	Climens	くりまんす	教本準拠
vin.plist	Crljenak Kastelanski	つぇりになっくかしゅてらんすき	いずれもvin、教本表記準拠。言語学的に正しい読みへ直さない
vin.plist	Cviček	ちゔぃちぇっく	vin、スロベニア語だがユーザがあえて現状維持
vin.plist	Dehilling	でぃひりんぐ	教本準拠
vin.plist	Deželno vino	でじぇうのゔぃの	いずれもvin、教本準拠。はくうんも/ふんじょう/とれいぞ/でじぇるの/らうれんつ/前置詞s=す へ直さない
vin.plist	Flagey-Echézeaux	ふらじぇいえしぇぞー	教本準拠
vin.plist	Harmo Noir	あるものわーる	vin、日本のブドウ品種アルモ・ノワール。H脱落ではない
vin.plist	Henschke	へんちき	vin、豪ワイナリー姓。Web・教本で「ヘンチキ」が一般的でそれを採用。ヘンシュケではない
vin.plist	Humagne Blanc	うまーにゅぶらん	vin、教本準拠。ユマーニュではなくウマーニュ
vin.plist	Humagne Rouge	うまーにゅるーじゅ	vin、教本準拠。ユマーニュではなくウマーニュ
vin.plist	Kövérszőlő	くゔぇーるすーるー	いずれもvin、教本表記準拠。言語学的に正しい読みへ直さない
vin.plist	Laurenz Moser III	ろーれんつもーざー	いずれもvin、教本準拠。はくうんも/ふんじょう/とれいぞ/でじぇるの/らうれんつ/前置詞s=す へ直さない
vin.plist	Madrid	まどりっど	単独は まどりっど。複合語の まどりーど と併存が正
vin.plist	Marquis d'Alesme-Becker	まるきだれーむべっかー	vin、教本表記準拠。言語学的に正しい読みへ直さない
vin.plist	Montelena	もんてれーな	教本準拠
vin.plist	Moutere Hills	むーてれひるず	教本準拠
vin.plist	Muscat	みゅすか	仏語読み。英語読み ますかっと の複合語(Muscat Bailey A 等)と併存が正
vin.plist	Orange	おらんじゅ	仏の産地。英語の紅茶等級 Orange Pekoe=おれんじ と併存が正
vin.plist	Pedernã	ぺでるなぁ	教本準拠
vin.plist	Perlwein	ぺるるゔぁいん	教本準拠
vin.plist	Pinot Bijeli	ぴのびえり	教本準拠
vin.plist	Pouligny-Saint-Pierre	ぷーりにぃさんぴえーる	教本準拠
vin.plist	STELVIN	すてるゔぁん	vin、栓ブランド。開発元が仏社→仏語読み「ステルヴァン」が日本の主流。英語圏権利化で「ステルヴィン」表記も少数あるが すてるゔぁん が正
vin.plist	Silvaner	じるゔぁーなー	vin、独墺語読み。語頭Sを有声「ジ」で。しるゔぁーなー=英語寄りと両読み併記
vin.plist	Soutard	すたーる	いずれもvin、教本表記準拠。言語学的に正しい読みへ直さない
vin.plist	Steven Spurrier	すてぃーゔんすぱりゅあ	教本準拠
vin.plist	Tualatin Hills	ちゅあらてぃんひるず	教本準拠
vin.plist	Tămâioasă Românească	たまよあさろまねあすか	教本準拠
vin.plist	VIGNO	びーにょ	教本準拠
vin.plist	Xérès	けれす	教本準拠
vin.plist	Zametovka	つぁめとふか	いずれもvin、教本表記準拠。言語学的に正しい読みへ直さない
vin.plist	Zotzenberg	ぞっつぇんべるく	教本準拠
vin.plist	Žlahtina	ずらふてぃな	vin、教本準拠。ジュではなくズ
vin.plist	水色	すいしょく	vin、紅茶・お茶の水色=浸出液の色。みずいろ ではない
vin.plist	白雲母	しろうんも	いずれもvin、教本準拠。はくうんも/ふんじょう/とれいぞ/でじぇるの/らうれんつ/前置詞s=す へ直さない
